Surname,First Names,Gender,Age,Boarded,Survived,Class
Saad,Mr Khalil,Male,27,Cherbourg,V,3
Sharp,Mr Percival,Male,27,Southampton,V,2
Strilic,Mr Ivan,Male,27,Southampton,V,3
Wennerström,Mr August,Male,27,Southampton,S,3
Widener,Mr Harry Elkins,Male,27,Southampton,V,1
Wirz,Mr Albert,Male,27,Southampton,V,3
Yasbeck,Mr Antoni,Male,27,Cherbourg,S,3
Zakarian,Mr Ortin,Male,27,Cherbourg,V,3
Bowker,Miss Ruth,Female,27,Southampton,S,Crew
Olliver,Mr. Alfred,Male,27,Belfast,S,Crew
Lewis,Mr. Arthur Ernest,Male,27,Southampton,S,Crew
Morgan,Mr. Arthur Herbert,Male,27,Southampton,V,Crew
Buley,Mr. Edward John,Male,27,Southampton,S,Crew
White,Mr. Edward Joseph,Male,27,Southampton,V,Crew
Smith,Mr. Ernest George,Male,27,Southampton,V,Crew
Corben,Mr. Ernest Theodore,Male,27,Southampton,V,Crew
Parsons,Mr. Frank Alfred,Male,27,Belfast,V,Crew
Randall,Mr. Frank Henry,Male,27,Southampton,V,Crew
White,Mr. Frank Leonard,Male,27,Southampton,V,Crew
Crafter,Mr. Frederick,Male,27,Southampton,S,Crew
Phillips,Mr. G.,Male,27,Southampton,V,Crew
Talbot,Mr. George Frederick Charles.,Male,27,Southampton,V,Crew
Marett,Mr. George John,Male,27,Southampton,V,Crew
Rimmer,Mr. Gilbert,Male,27,Southampton,V,Crew
Basilico,Mr. Giovanni,Male,27,Southampton,V,Crew
Casali,Mr. Giulio,Male,27,Southampton,V,Crew
Holman,Mr. Harry,Male,27,Belfast,V,Crew
Dodds,Mr. Henry Watson,Male,27,Southampton,V,Crew
Forward,Mr. James,Male,27,Southampton,S,Crew
Thomas,Mr. James,Male,27,Southampton,V,Crew
McGrady,Mr. James,Male,27,Southampton,V,Crew
Brookman,Mr. John,Male,27,Southampton,V,Crew
Davies,Mr. John James,Male,27,Belfast,V,Crew
Tietz,Mr. Karl,Male,27,Southampton,V,Crew
Doyle,Mr. Laurence,Male,27,Southampton,V,Crew
Rogers,Mr. Michael,Male,27,Southampton,V,Crew
Mathais,Mr. Montague Vincent,Male,27,Southampton,V,Crew
Millar,Mr. Robert,Male,27,Southampton,V,Crew
Rutter,Mr. Sidney,Male,27,Southampton,V,Crew
James,Mr. Thomas,Male,27,Southampton,V,Crew
Ryan,Mr. Tom,Male,27,Southampton,V,Crew
Watson,Mr. W.,Male,27,Southampton,V,Crew
Cheverton,Mr. William Edward,Male,27,Belfast,V,Crew
Caunt,Mr. William Ewart,Male,27,Southampton,V,Crew
Mayo,Mr. William Peter,Male,27,Southampton,V,Crew
Fox,Mr. William Thomas,Male,27,Southampton,V,Crew
Hurst,Walter,Male,27,Southampton,S,Crew
Abelson,Mrs Hannah,Female,28,Cherbourg,S,2
Caldwell,Mrs Sylvia Mae,Female,28,Southampton,S,2
Chapman,Mrs Sara Elizabeth,Female,28,Southampton,V,2
Clarke,Mrs Ada Maria,Female,28,Southampton,S,2
Danbom,Mrs Anna Sigrid Maria,Female,28,Southampton,V,3
Davis,Miss Mary Ann Charlotte,Female,28,Southampton,S,2
Doyle,Miss Elizabeth,Female,28,Queenstown,V,3
Fortune,Miss Ethel Flora,Female,28,Southampton,S,1
Henriksson,Miss Jenny Lovisa,Female,28,Southampton,V,3
Karnes,Mrs Claire,Female,28,Southampton,V,2
Mannion,Miss Margaret,Female,28,Queenstown,S,3
Moran,Miss Bridget,Female,28,Queenstown,S,3
Peteranec,Miss Mathilda,Female,28,Southampton,V,3
Reynalds,Señora Encarnación,Female,28,Southampton,S,2
Banfield,Mr Frederick James,Male,28,Southampton,V,2
Beauchamp,Mr Henry James,Male,28,Southampton,V,2
Björnström-Steffansson,Mr Mauritz Hokan,Male,28,Southampton,S,1
Cairns,Mr Alexander Milne,Male,28,Southampton,V,1
Caram,Mr Joseph,Male,28,Cherbourg,V,3
Carlsson,Mr August Sigfrid,Male,28,Southampton,V,3
Carver,Mr Alfred John,Male,28,Southampton,V,3
Clarke,Mr John Frederick Preston,Male,28,Southampton,V,2
Daher,Mr Tannous,Male,28,Cherbourg,V,3
Flynn,Mr James,Male,28,Queenstown,V,3
Fox,Mr Patrick,Male,28,Queenstown,V,3
Gustafsson,Mr Johan Birger,Male,28,Southampton,V,3
Hagland,Mr Ingvald Olai Olsen,Male,28,Southampton,V,3
Hakkarainen,Mr Pekka Pietari,Male,28,Southampton,V,3
Hart,Mr Henry,Male,28,Queenstown,V,3
Hendekovic,Mr Ignjac,Male,28,Southampton,V,3
Holthen,Mr Johan Martin,Male,28,Southampton,V,3
Ling,Mr Lee,Male,28,Southampton,V,3
Mernagh,Mr Robert,Male,28,Queenstown,V,3
Meyer,Mr Edgar Joseph,Male,28,Cherbourg,V,1
Mihoff,Mr Stoytcho,Male,28,Southampton,V,3
Moutal,Mr Rahamin Haim,Male,28,Southampton,V,3
Nasser,Mr Nicholas,Male,28,Cherbourg,V,2
Niklasson,Mr Samuel,Male,28,Southampton,V,3
Olsen,Mr Henry Margido,Male,28,Southampton,V,3
Olsson,Mr Nils Johan Göransson,Male,28,Southampton,V,3
Pedersen,Mr Olaf,Male,28,Southampton,V,3
Sedgwick,Mr Charles Frederick Waddington,Male,28,Southampton,V,2
Sloper,Mr William Thompson,Male,28,Southampton,S,1
Van Den Steen,Mr Leo Peter,Male,28,Southampton,V,3
Vandewalle,Mr Nestor Cyriel,Male,28,Southampton,V,3
Williams,Mr Howard Hugh,Male,28,Southampton,V,3
Williams,Mr Leslie,Male,28,Southampton,V,3
Marsden,Miss Evelyn,Female,28,Southampton,S,Crew
Sloan,Miss Mary,Female,28,Southampton,S,Crew
Akerman,Mr. Albert,Male,28,Southampton,V,Crew
Coleman,Mr. Albert Edward,Male,28,Southampton,V,Crew
Black,Mr. Alexander,Male,28,Southampton,V,Crew
Baggott,Mr. Allen Marden,Male,28,Southampton,S,Crew
Chitty,Mr. Archibald George,Male,28,Southampton,V,Crew
Coutin,Mr. Auguste Louis,Male,28,Southampton,V,Crew
Coutin,Mr. Auguste Louis,Male,28,Southampton,V,Crew
Wilson,Mr. Bertie,Male,28,Southampton,V,Crew
Guy,Mr. Edward John,Male,28,Southampton,S,Crew
Poggi,Mr. Emilio,Male,28,Southampton,V,Crew
Olive,Mr. Ernest Roskelly,Male,28,Southampton,V,Crew
King,Mr. Ernest Waldron,Male,28,Southampton,V,Crew
Gollop,Mr. F.,Male,28,Southampton,V,Crew
Couch,Mr. Frank,Male,28,Southampton,V,Crew
Osman,Mr. Frank,Male,28,Southampton,S,Crew
Goree,Mr. Frank,Male,28,Southampton,V,Crew
Long,Mr. Frank,Male,28,Southampton,V,Crew
Morris,Mr. Frank Herbert,Male,28,Belfast,S,Crew
Barrett,Mr. Frederick,Male,28,Southampton,S,Crew
Scott,Mr. Frederick,Male,28,Southampton,S,Crew
Marsh,Mr. Frederick Charles,Male,28,Southampton,V,Crew
Milford,Mr. George,Male,28,Southampton,V,Crew
Bietrix,Mr. George Baptiste,Male,28,Southampton,V,Crew
Jaillet,Mr. Henri Marie,Male,28,Southampton,V,Crew
Stubbs,Mr. James Henry,Male,28,Southampton,V,Crew
Pearce,Mr. John,Male,28,Southampton,S,Crew
Gunn,Mr. Joseph Alfred,Male,28,Southampton,V,Crew
Turner,Mr. Leopold[25],Male,28,Belfast,V,Crew
Keen,Mr. Percy Edward,Male,28,Southampton,S,Crew
Webb,Mr. Samuel Francis,Male,28,Southampton,V,Crew
Casey,Mr. T.,Male,28,Southampton,V,Crew
Hunt,Mr. T.,Male,28,Southampton,V,Crew
Holland,Mr. Thomas,Male,28,Belfast,V,Crew
Graham,Mr. Thomas Gibson,Male,28,Belfast,S,Crew
Williams,Mr. Walter J.,Male,28,Southampton,S,Crew
Brown,Mr. Walter James,Male,28,Belfast,V,Crew
Jeffery,Mr. William Alfred,Male,28,Southampton,V,Crew
Taylor,Mr. William Henry,Male,28,Southampton,S,Crew
Duffy,Mr. William Luke,Male,28,Belfast,V,Crew
Kerley,Mr. William Thomas,Male,28,Southampton,V,Crew
Boxhall,"Sub-Lieutenant Joseph Groves, RNR",Male,28,Belfast,S,Crew
Allen,Miss Elisabeth Walton,Female,29,Southampton,S,1
Healy,Miss Honor,Female,29,Queenstown,S,3
Hold,Mrs Annie Margaret,Female,29,Southampton,S,2
Kreuchen,Miss Emilie,Female,29,Southampton,S,1
McCoy,Miss Agnes,Female,29,Queenstown,S,3
Moor,Mrs Beila,Female,29,Southampton,S,3
Nieminen,Miss Manta Josefina,Female,29,Southampton,V,3
Nye,Mrs Elizabeth,Female,29,Southampton,S,2
Pålsson,Mrs Alma Cornelia,Female,29,Southampton,V,3
Sinkkonen,Miss Anna,Female,29,Southampton,S,2
Ström,Mrs Elna Matilda,Female,29,Southampton,V,3
Wells,Mrs Addie Dart,Female,29,Southampton,S,2
Bracken,Mr James Hollen,Male,29,Southampton,V,2
Braund,Mr Lewis Richard,Male,29,Southampton,V,3
Christmann,Mr Emil,Male,29,Southampton,V,3
Clarke,Mr Charles Valentine,Male,29,Southampton,V,2
Coleridge,Mr Reginald Charles,Male,29,Southampton,V,2
Daly,Mr Eugene Patrick,Male,29,Queenstown,S,3
Del Carlo,Mr Sebastiano,Male,29,Cherbourg,V,2
Elias,Mr Dibo,Male,29,Cherbourg,V,3
Gallagher,Mr Martin,Male,29,Queenstown,V,3
Jalševac,Mr Ivan,Male,29,Cherbourg,S,3
Johannesen,Mr Bernt Johannes,Male,29,Southampton,S,3
Johansson,Mr Nils,Male,29,Southampton,V,3
Kink,Mr Anton,Male,29,Southampton,S,3
Larsson,Mr August Viktor,Male,29,Southampton,V,3
Larsson,Mr Bengt Edvin,Male,29,Southampton,V,3
Long,Mr Milton Clyde,Male,29,Southampton,V,1
Lulic,Mr Nikola,Male,29,Southampton,S,3
Mäkinen,Mr Kalle Edvard,Male,29,Southampton,V,3
Maréchal,Mr Pierre,Male,29,Cherbourg,S,1
Moss,Mr Albert Johan,Male,29,Southampton,S,3
Omont,Mr Alfred Fernand,Male,29,Cherbourg,S,1
Pallàs I Castelló,Señor Emili,Male,29,Cherbourg,S,2
Parr,Mr William Henry Marsh,Male,29,Belfast,V,1
Pears,Mr Thomas Clinton,Male,29,Southampton,V,1
Petroff,Mr Pastcho,Male,29,Southampton,V,3
Rogers,Mr William John,Male,29,Southampton,V,3
Salonen,Mr Johan Werner,Male,29,Southampton,V,3
Scheerlinck,Mr Jean,Male,29,Southampton,S,3
Shihāb,Mr Al-Am īr Fāris,Male,29,Cherbourg,V,3
Turpin,Mr William John,Male,29,Southampton,V,2
Zimmermann,Mr Leo,Male,29,Southampton,V,3
Franklin,Mr. Alan Vincent,Male,29,Southampton,V,Crew
Deeble,Mr. Alfred Arnold,Male,29,Belfast,V,Crew
Fellowes,Mr. Alfred J.,Male,29,Belfast,V,Crew
Jackson,Mr. Cecil,Male,29,Belfast,V,Crew
Barnes,Mr. Charles,Male,29,Southampton,V,Crew
Hendrickson,Mr. Charles Osker,Male,29,Southampton,S,Crew
Janin,Mr. Claude Marie,Male,29,Southampton,V,Crew
Harris,Mr. Edward,Male,29,Southampton,V,Crew
Burr,Mr. Ewart,Male,29,Southampton,V,Crew
Martin,Mr. F.,Male,29,Southampton,S,Crew
Painter,Mr. Frank,Male,29,Southampton,V,Crew
Barnes,Mr. Frederick,Male,29,Southampton,V,Crew
Benham,Mr. Frederick,Male,29,Southampton,V,Crew
Hogg,Mr. George Alfred,Male,29,Belfast,S,Crew
Nettleton,Mr. George Walter,Male,29,Southampton,V,Crew
Jones,Mr. H.,Male,29,Southampton,V,Crew
Hensford,Mr. Herbert George,Male,29,Southampton,V,Crew
Gordon,Mr. J.,Male,29,Southampton,V,Crew
Blaney,Mr. James,Male,29,Southampton,V,Crew
Fraser,Mr. James,Male,29,Belfast,V,Crew
Fraser,Mr. James,Male,29,Southampton,V,Crew
McGann,Mr. James,Male,29,Southampton,S,Crew
Hutchinson,Mr. James,Male,29,Southampton,V,Crew
Paintin,Mr. James Arthur,Male,29,Southampton,V,Crew
Moore,Mr. John J.,Male,29,Southampton,S,Crew
Bogie,Mr. Norman Leslie,Male,29,Southampton,V,Crew
Hichens,Mr. Robert,Male,29,Southampton,S,Crew
Bradley,Mr. T.,Male,29,Southampton,V,Crew
Shea,Mr. Thomas,Male,29,Southampton,V,Crew
Ranger,Mr. Thomas G.,Male,29,Southampton,S,Crew
Loyd,Mr. W.,Male,29,Southampton,V,Crew
Ridout,Mr. W.,Male,29,Southampton,V,Crew
Cox,Mr. William Denton,Male,29,Southampton,V,Crew
Parr,Mr. William Henry Marsh,Male,29,Belfast,V,Crew
Lowe,"Sub-Lieutenant Harold Godfrey, RNR",Male,29,Belfast,S,Crew
Bonnell,Miss Caroline,Female,30,Southampton,S,1
Cacic,Miss Marija,Female,30,Southampton,V,3
Cherry,Miss Gladys,Female,30,Southampton,S,1
Corbett,Mrs Irene,Female,30,Southampton,V,2
Corey,Mrs Mary Emma,Female,30,Southampton,V,2
Durán I Moné,Señora Florentina,Female,30,Cherbourg,S,2
Lahhūd Ishaq Mu’Awwad,MrSark īs,Female,30,Cherbourg,V,3
Lindell,Mrs Elin Gerda,Female,30,Southampton,S,3
Renouf,Mrs Lillian,Female,30,Southampton,V,2
Serreplan,Miss Auguste,Female,30,Southampton,S,1
Slayter,Miss Hilda Mary,Female,30,Queenstown,S,2
Van Impe,Mrs Rosalie Paula,Female,30,Southampton,V,3
Abelson,Mr Samuel,Male,30,Cherbourg,V,2
Ådahl,Mr Mauritz,Male,30,Southampton,V,3
Allison,Mr Hudson Joshua Creighton,Male,30,Southampton,V,1
Cornblatt,Mr Harris,Male,30,Southampton,V,3
De Mulder,Mr Theodoor,Male,30,Southampton,S,3
Denkoff,Mr Mitto,Male,30,Southampton,V,3
Foreman,Mr Benjamin Laventall,Male,30,Southampton,V,1
Givard,Mr Hans Kristensen,Male,30,Southampton,V,2
Hale,Mr Reginald,Male,30,Southampton,V,2
Hickman,Mr Lewis,Male,30,Southampton,V,2
Karajic,Mr Milan,Male,30,Southampton,V,3
Lamb,Mr John J.,Male,30,Queenstown,V,2
Lewy,Mr Ervin G.,Male,30,Cherbourg,V,1
Lobb,Mr William Arthur,Male,30,Southampton,V,3
Loring,Mr Joseph Holland,Male,30,Southampton,V,1
Lymperopoulus,Mr Panagiotis K.,Male,30,Cherbourg,V,3
Maguire,Mr John Edward,Male,30,Southampton,V,1
Mangiavacchi,Mr Serafino Emilio,Male,30,Cherbourg,V,2
Matinoff,Mr Nicola,Male,30,Cherbourg,V,3
Mock,Mr Philipp Edmund,Male,30,Cherbourg,S,1
Morrow,Mr Thomas Rowan,Male,30,Queenstown,V,3
Portaluppi,Mr Emilio Ilario Giuseppe,Male,30,Cherbourg,S,2
Razi,Mr Raihed,Male,30,Cherbourg,V,3
Ryan,Mr Patrick,Male,30,Queenstown,V,3
Saad,Mr Amin,Male,30,Cherbourg,V,3
Somerton,Mr Francis William,Male,30,Southampton,V,3
Warren,Mr Charles William,Male,30,Southampton,V,3
Clarke,John Frederick Preston,Male,30,Southampton,V,Crew
Bochatay,Mr. Alexis Joseph,Male,30,Southampton,V,Crew
Morris,Mr. Arthur,Male,30,Southampton,V,Crew
Kitching,Mr. Arthur Alfred,Male,30,Southampton,V,Crew
Broome,Mr. Athol Frederick,Male,30,Southampton,V,Crew
Stanbrook,Mr. Augustus,Male,30,Southampton,V,Crew
Cunningham,Mr. B.,Male,30,Southampton,V,Crew
Allaria,Mr. Battista Antonio,Male,30,Southampton,V,Crew
Fey,Mr. Carlo,Male,30,Southampton,V,Crew
Barlow,Mr. Charles,Male,30,Southampton,V,Crew
Kennell,Mr. Charles,Male,30,Southampton,V,Crew
Sangster,Mr. Charles Edward,Male,30,Southampton,V,Crew
Fitzpatrick,Mr. Charles W.N.,Male,30,Southampton,S,Crew
Matherson,Mr. David,Male,30,Southampton,V,Crew
Stone,Mr. Edward Thomas,Male,30,Southampton,V,Crew
McGaw,Mr. Errol Victor,Male,30,Southampton,V,Crew
Young,Mr. Francis James,Male,30,Southampton,V,Crew
Hannam,Mr. George,Male,30,Southampton,V,Crew
Bennett,Mr. George Alfred,Male,30,Southampton,V,Crew
Crowe,Mr. George Frederick,Male,30,Southampton,S,Crew
Ketchley,Mr. Henry,Male,30,Belfast,V,Crew
Brewer,"Mr. Henry ""Harry""",Male,30,Southampton,V,Crew
Calderwood,Mr. Hugh,Male,30,Belfast,V,Crew
McGregor,Mr. J. (John Brown Niven),Male,30,Southampton,V,Crew
Toshack,Mr. James A.,Male,30,Southampton,V,Crew
Robinson,Mr. James William,Male,30,Southampton,V,Crew
Dilley,Mr. John,Male,30,Southampton,S,Crew
Hagan,Mr. John,Male,30,Belfast,S,Crew
Ellis,Mr. John Bertram,Male,30,Southampton,S,Crew
Jackopson,Mr. John Henry,Male,30,Southampton,V,Crew
Giles,Mr. John Robert,Male,30,Southampton,V,Crew
Heinen,Mr. Joseph,Male,30,Southampton,V,Crew
Richards,Mr. Joseph James,Male,30,Southampton,V,Crew
Kinsella,Mr. Louis,Male,30,Southampton,V,Crew
Piazza,Mr. Pompeo,Male,30,Southampton,V,Crew
Pfropper,Mr. Richard,Male,30,Southampton,S,Crew
Burke,Mr. Richard Edward,Male,30,Belfast,V,Crew
Couper,Mr. Robert,Male,30,Southampton,S,Crew
Reed,Mr. Robert,Male,30,Southampton,V,Crew
Reeves,Mr. Robert,Male,30,Southampton,V,Crew
Steel,Mr. Robert Edward,Male,30,Southampton,V,Crew
Sawyer,Mr. Robert James,Male,30,Southampton,V,Crew
Fay,Mr. Thomas,Male,30,Southampton,V,Crew
Ford,Mr. Thomas,Male,30,Southampton,V,Crew
Saunders,Mr. W.,Male,30,Southampton,V,Crew
Bull,Mr. W.,Male,30,Southampton,V,Crew
Lindsay,Mr. William Charles,Male,30,Southampton,S,Crew
Weller,Mr. William Clifford,Male,30,Belfast,S,Crew
Penny,Mr. William Far,Male,30,Southampton,V,Crew
Butt,Mr. William John,Male,30,Southampton,V,Crew
Boston,Mr. William John,Male,30,Belfast,V,Crew
Bennett,Mrs. Mabel,Female,30,Southampton,S,Crew
Slocombe,Mrs. Maud (née Waldon),Female,30,Southampton,S,Crew
Banski,Mrs Mara,Female,31,Southampton,V,3
Bird,Miss Ellen,Female,31,Southampton,S,1
Collyer,Mrs Charlotte Caroline,Female,31,Southampton,S,2
Dowdell,Miss Elizabeth,Female,31,Southampton,S,3
Francatelli,Miss Laura Mabel,Female,31,Cherbourg,S,1
Goldsmith,Mrs Emily Alice,Female,31,Southampton,S,3
Hoyt,Mrs Jane Anne,Female,31,Southampton,S,1
Leitch,Miss Jessie Wills,Female,31,Southampton,S,2
McDermott,Miss Bridget Delia,Female,31,Queenstown,S,3
Meek,Mrs Annie Louisa,Female,31,Southampton,V,3
Newell,Miss Madeleine,Female,31,Cherbourg,S,1
Olsson,Miss Elina,Female,31,Southampton,V,3
Roth,Miss Sarah,Female,31,Southampton,S,3
Vanderplancke,Mrs Emelie Maria,Female,31,Southampton,V,3
Ware,Mrs Florence Louise,Female,31,Southampton,S,2
Wick,Miss Mary Natalie,Female,31,Southampton,S,1
Wilson,Miss Helen Alice,Female,31,Cherbourg,S,1
Collyer,Mr Harvey,Male,31,Southampton,V,2
Conlin,Mr Thomas Henry,Male,31,Queenstown,V,3
Davidson,Mr Thornton,Male,31,Cherbourg,V,1
Dick,Mr Albert Adrian,Male,31,Southampton,S,1
Gillespie,Mr William Henry,Male,31,Southampton,V,2
Johansson,Mr Karl Johan,Male,31,Southampton,V,3
Kvillner,Mr Johan Henrik Johannesson,Male,31,Southampton,V,2
Meyer,Mr August,Male,31,Southampton,V,2
Roebling,Mr Washington Augustus II,Male,31,Southampton,V,1
Strandén,Mr Juho Niilosson,Male,31,Southampton,S,3
Tannūs,Mr Bash īr,Male,31,Cherbourg,V,3
Tucker,Mr Gilbert Milligan Jr,Male,31,Cherbourg,S,1
Vanderplancke,Mr Julius,Male,31,Southampton,V,3
Whilems,Mr Charles,Male,31,Southampton,S,2
Haines,Mr. Albert M.,Male,31,Belfast,S,Crew
Howell,Mr. Arthur Albert,Male,31,Belfast,V,Crew
Goshawk,Mr. Arthur James,Male,31,Belfast,V,Crew
Tizard,Mr. Arthur Leopold,Male,31,Southampton,V,Crew
Olive,Mr. Charles,Male,31,Southampton,V,Crew
Painter,Mr. Charles,Male,31,Southampton,V,Crew
Bagley,Mr. Edward Ernest,Male,31,Southampton,V,Crew
Rowe,Mr. Edward M.,Male,31,Belfast,V,Crew
Bessant,Mr. Edward William,Male,31,Southampton,V,Crew
Webber,Mr. Francis Albert,Male,31,Southampton,V,Crew
Prangnell,Mr. George,Male,31,Southampton,S,Crew
Clench,Mr. George James,Male,31,Southampton,V,Crew
Noss,Mr. Henry,Male,31,Southampton,S,Crew
Senior,Mr. Henry,Male,31,Southampton,S,Crew
Wood,Mr. Henry,Male,31,Southampton,V,Crew
Jupe,Mr. Herbert,Male,31,Southampton,V,Crew
Perriton,Mr. Hubert Prouse,Male,31,Southampton,V,Crew
Maynard,Mr. Isaac Hiram,Male,31,Belfast,S,Crew
Byrne,Mr. J.E.,Male,31,Southampton,V,Crew
McMullin,Mr. James,Male,31,Belfast,V,Crew
Witter,Mr. James W.C.,Male,31,Southampton,S,Crew
Maxwell,Mr. John,Male,31,Belfast,V,Crew
Hart,Mr. John Edward,Male,31,Southampton,S,Crew
Ward,Mr. Joseph,Male,31,Southampton,V,Crew
Kieran,Mr. Michael,Male,31,Southampton,V,Crew
Pugh,Mr. Percy,Male,31,Southampton,V,Crew
Sloan,Mr. Peter,Male,31,Belfast,V,Crew
Geddes,Mr. Richard Charles,Male,31,Southampton,V,Crew
Bristow,Mr. Robert Charles,Male,31,Southampton,V,Crew
Vioni,Mr. Roberto,Male,31,Southampton,V,Crew
Hinton,Mr. Steven William,Male,31,Southampton,V,Crew
Humphreys,Mr. Thomas Humphrey,Male,31,Southampton,V,Crew
Gilardino,Mr. Vincenzo Pio,Male,31,Southampton,V,Crew
Orpet,Mr. Walter Hayward,Male,31,Southampton,V,Crew
Nutbean,Mr. William,Male,31,Southampton,S,Crew
Burke,Mr. William,Male,31,Belfast,S,Crew
Carney,Mr. William,Male,31,Southampton,V,Crew
Dyer,Mr. William,Male,31,Southampton,V,Crew
Revell,Mr. William,Male,31,Belfast,V,Crew
Bedford,Mr. William Barnet,Male,31,Southampton,V,Crew
Bassani,Mrs Albina,Female,32,Cherbourg,S,1
Bourke,Mrs Catherine,Female,32,Queenstown,V,3
Chambers,Mrs Bertha,Female,32,Southampton,S,1
Dean,Mrs Eva Georgetta,Female,32,Southampton,S,3
Mangan,Miss Mary,Female,32,Queenstown,V,3
McNeill,Miss Bridget,Female,32,Queenstown,V,3
Pinsky,Mrs Rosa,Female,32,Southampton,S,2
Thorneycroft,Mrs Florence Kate,Female,32,Southampton,S,3
Angle,Mr William,Male,32,Southampton,V,2
Backström,Mr Karl Alfred,Male,32,Southampton,V,3
Beane,Mr Edward,Male,32,Southampton,S,2
Bing,Mr Lee,Male,32,Southampton,S,3
Brito,Mr José Joaquim de,Male,32,Southampton,V,2
Chip,Mr Chang,Male,32,Southampton,S,3
Davison,Mr Thomas Henry,Male,32,Southampton,V,3
Foo,Mr Choong,Male,32,Southampton,S,3
Grønnestad,Mr Daniel Danielsen,Male,32,Southampton,V,3
Ilieff,Mr Ylio,Male,32,Southampton,V,3
Jenkin,Mr Stephen Curnow,Male,32,Southampton,V,2
Jussila,Mr Eiriik,Male,32,Southampton,S,3
Lang,Mr Fang,Male,32,Southampton,S,3
Leinonen,Mr Antti Gustaf,Male,32,Southampton,V,3
Lundström,Mr Thure Edvin,Male,32,Southampton,S,3
McCrae,Mr Arthur Gordon,Male,32,Southampton,V,2
McCrie,Mr James Matthew,Male,32,Southampton,V,2
Nankoff,Mr Minko,Male,32,Southampton,V,3
Navratil,Mr Michel,Male,32,Southampton,V,2
Olsson,Mr Oscar Wilhelm,Male,32,Southampton,S,3
Pavlovic,Mr Stefo,Male,32,Southampton,V,3
Pearce,Mr Ernest,Male,32,Southampton,V,3
Picard,Mr Benoît,Male,32,Southampton,S,3
Spinner,Mr Henry John,Male,32,Southampton,V,3
Stähelin-Maeglin,Dr Max,Male,32,Southampton,S,1
Taylor,Mr Percy Cornelius,Male,32,Southampton,V,2
Tikkanen,Mr Juho,Male,32,Southampton,V,3
Woodward,Mr John Wesley,Male,32,Southampton,V,2
Woodward,John Wesley,Male,32,Southampton,V,Crew
Walsh,Miss Catherine,Female,32,Southampton,V,Crew
Pearcey,Mr. Albert Victor,Male,32,Southampton,S,Crew
White,Mr. Alfred,Male,32,Southampton,S,Crew
Rice,Mr. Charles,Male,32,Southampton,S,Crew
Casswill,Mr. Charles,Male,32,Southampton,V,Crew
Judd,Mr. Charles E.,Male,32,Southampton,S,Crew
Back,Mr. Charles Frederick,Male,32,Belfast,V,Crew
Joughin,Mr. Charles John,Male,32,Belfast,S,Crew
Newman,Mr. Charles Thomas,Male,32,Southampton,V,Crew
Rogers,Mr. Edward James William,Male,32,Southampton,V,Crew
Burton,Mr. Edward John,Male,32,Southampton,V,Crew
Ford,Mr. Ernest,Male,32,Southampton,V,Crew
Gradidge,Mr. Ernest E.,Male,32,Southampton,V,Crew
Farrenden,Mr. Ernest John,Male,32,Belfast,V,Crew
Port,Mr. Frank,Male,32,Belfast,S,Crew
Mason,Mr. Frank Archibald Robert,Male,32,Southampton,S,Crew
Ray,Mr. Frederick Dent,Male,32,Belfast,S,Crew
Pond,Mr. George,Male,32,Southampton,V,Crew
Moore,Mr. George Alfred,Male,32,Southampton,S,Crew
Evans,Mr. George Richard,Male,32,Belfast,V,Crew
Rowe,Mr. George Thomas,Male,32,Belfast,S,Crew
Oliver,Mr. H.,Male,32,Southampton,S,Crew
Ide,Mr. Harry John,Male,32,Southampton,V,Crew
Allen,Mr. Henry,Male,32,Southampton,V,Crew
Vear,Mr. Henry,Male,32,Southampton,V,Crew
Ashe,Mr. Henry Wellesley,Male,32,Southampton,V,Crew
Lloyd,Mr. Humphrey,Male,32,Belfast,V,Crew
Tozer,Mr. James,Male,32,Southampton,V,Crew
Cartwright,Mr. James Edward,Male,32,Belfast,V,Crew
Kieran,Mr. James W.,Male,32,Southampton,V,Crew
Bannon,Mr. John,Male,32,Southampton,V,Crew
Taylor,Mr. John,Male,32,Southampton,V,Crew
Shepherd,Mr. Johnathan,Male,32,Southampton,V,Crew
Hall,Mr. Joseph,Male,32,Southampton,V,Crew
Chapman,Mr. Joseph Charles,Male,32,Southampton,S,Crew
White,Mr. L.,Male,32,Southampton,V,Crew
Golder,Mr. Martin W.,Male,32,Southampton,V,Crew
Vigott,Mr. Philip Francis,Male,32,Southampton,S,Crew
Paice,Mr. Richard Charles John,Male,32,Southampton,V,Crew
Wake,Mr. T.,Male,32,Southampton,V,Crew
Porteus,Mr. Thomas,Male,32,Belfast,V,Crew
Lahy,Mr. Thomas E.,Male,32,Southampton,V,Crew
Teuton,Mr. Thomas Moore,Male,32,Southampton,V,Crew
Jones,Mr. Thomas William,Male,32,Southampton,S,Crew
Vear,Mr. W.,Male,32,Southampton,V,Crew
Major,Mr. William,Male,32,Southampton,S,Crew
McQuillan,Mr. William,Male,32,Belfast,V,Crew
Barrows,Mr. William,Male,32,Southampton,V,Crew
Crispin,Mr. William,Male,32,Southampton,V,Crew
McRae,Mr. William Alexander,Male,32,Southampton,V,Crew
Mackie,Mr. William Dickson,Male,32,Belfast,V,Crew
Osbourne,Mr. William Edward,Male,32,Belfast,V,Crew
Ryerson,Mr. William Edwy,Male,32,Southampton,S,Crew
